iter	RMSE
446	20302.92759
447	20286.69486
448	20237.70308
449	20171.95397
450	20128.07141
451	20067.57965
452	20035.0182
453	20008.41009
454	19945.83303
455	19901.10409
456	19873.27898
457	19844.38882
458	19828.84022
459	19792.72084
460	19759.84804
461	19745.16643
462	19714.09041
463	19682.72846
464	19620.13327
465	19559.2691
466	19543.35848
467	19488.13735
468	19457.82036
469	19410.78694
470	19368.97185
471	19351.17708
472	19331.55228
473	19293.61831
474	19254.6353
475	19224.85558
476	19171.08343
477	19127.71792
478	19097.2852
479	19084.71783
480	19059.19198
481	19014.76068
482	18986.40434
483	18972.36702
484	18934.86101
485	18897.83243
486	18867.68324
487	18825.03639
488	18791.35374
489	18767.89402
490	18720.46442
491	18687.52086
492	18662.30253
493	18631.69851
494	18599.24686
495	18567.93172
496	18527.74723
497	18499.54825
498	18463.39555
499	18438.35934
500	18410.73409
501	18374.6676
502	18343.90916
503	18327.29391
504	18293.73571
505	18274.91829
506	18253.30784
507	18224.87025
508	18192.9366
509	18157.85483
510	18134.25224
511	18097.6939
512	18078.91033
513	18055.23482
514	18042.31993
515	18017.2227
516	17995.16434
517	17952.66104
518	17928.85506
519	17896.31503
520	17869.24582
521	17847.42291
522	17828.62721
523	17789.49025
524	17763.7136
525	17726.59134
526	17706.14017
527	17688.81036
528	17677.73837
529	17642.43762
530	17618.83741
531	17588.62138
532	17562.75376
533	17553.49107
534	17533.06868
535	17506.49001
536	17486.88392
537	17462.0027
538	17436.70403
539	17390.47838
540	17373.34261
541	17364.69493
542	17335.92523
543	17316.40501
544	17281.31245
545	17254.02788
546	17232.74539
547	17197.66835
548	17170.51415
549	17152.35364
550	17122.58028
551	17098.50101
552	17088.87353
553	17044.34127
554	17021.14536
555	16999.8153
556	16991.86503
557	16965.45929
558	16956.7594
559	16937.81159
560	16918.82743
561	16906.63897
562	16876.06987
563	16845.46844
564	16837.22505
565	16808.8146
566	16782.21241
567	16758.17396
568	16731.29896
569	16724.34491
570	16700.86503
571	16667.45974
572	16641.86071
573	16635.26409
574	16603.22081
575	16585.55908
576	16567.33124
577	16544.70461
578	16528.40463
579	16507.80387
580	16485.82742
581	16467.44965
582	16451.50542
583	16433.77126
584	16415.82502
585	16396.64635
586	16375.37141
587	16350.405
588	16336.18826
589	16311.92522
590	16286.56675
591	16278.49275
592	16259.00957
593	16217.90064
594	16207.68023
595	16198.12834
596	16147.62199
597	16126.66655
598	16100.73567
599	16062.93951
600	16039.12596
601	16016.66399
602	15994.93015
603	15980.51747
604	15958.30489
605	15940.22949
606	15911.12534
607	15897.21009
608	15881.49198
609	15866.78713
610	15850.71599
611	15837.13945
612	15813.72369
613	15794.32679
614	15771.45688
615	15733.68374
616	15709.14877
617	15687.17081
618	15671.10853
619	15645.88463
620	15605.17873
621	15572.07171
622	15558.94556
623	15538.94816
624	15490.88413
625	15473.6981
626	15460.4314
627	15435.65467
628	15415.77558
629	15392.39737
630	15371.20835
631	15346.24769
632	15332.29752
633	15309.44278
634	15290.37411
635	15271.47472
636	15256.68911
637	15233.80589
638	15209.76791
639	15188.50973
640	15144.62601
641	15130.84445
642	15109.39899
643	15089.75411
644	15067.79598
645	15053.22551
646	15041.39604
647	15029.6684
648	15013.28522
649	14996.52394
650	14978.24301
651	14960.63696
652	14941.03969
653	14929.59421
654	14919.05518
655	14903.69734
656	14888.74867
657	14879.58782
658	14848.48465
659	14837.30204
660	14808.72733
661	14793.46747
662	14774.04811
663	14752.77494
664	14735.8732
665	14723.74209
666	14715.56432
667	14701.11204
668	14693.01573
669	14677.59198
670	14636.01787
671	14631.23023
672	14621.27809
673	14609.16974
674	14588.81206
675	14579.00526
676	14572.52017
677	14561.10802
678	14554.91455
679	14545.24639
680	14526.41037
681	14516.29412
682	14497.74338
683	14480.86231
684	14472.16109
685	14451.65552
686	14427.73436
687	14410.53049
688	14390.26391
689	14381.05894
690	14352.39953
691	14333.55523
692	14315.3594
693	14298.15308
694	14291.25536
695	14280.85691
696	14258.79959
697	14250.31857
698	14231.27562
699	14224.75945
700	14218.63935
701	14210.47505
702	14186.03849
703	14165.67078
704	14159.90502
705	14119.14861
706	14115.38954
707	14092.38815
708	14074.32274
709	14049.51855
710	14047.07021
711	14044.25383
712	14029.32796
713	14004.06361
714	13980.51315
715	13964.55127
716	13946.27594
717	13925.98007
718	13912.59268
719	13897.20634
720	13883.38857
721	13869.14198
722	13861.36841
723	13845.88816
724	13837.09721
725	13820.12627
726	13804.69179
727	13789.05051
728	13769.62315
729	13757.18742
730	13746.23064
731	13728.09135
732	13713.49558
733	13701.96136
734	13694.57344
735	13685.59046
736	13676.17187
737	13664.83074
738	13656.84385
739	13644.01537
740	13631.84099
741	13624.58272
742	13615.57367
743	13601.55931
744	13585.41526
745	13573.24562
746	13554.69376
747	13536.15977
748	13528.86784
749	13522.4574
750	13505.16109
751	13487.0279
752	13474.39348
753	13465.73177
754	13449.14983
755	13447.52365
756	13439.23278
757	13427.11678
758	13406.94699
759	13395.86649
760	13385.43028
761	13377.17581
762	13348.0842
763	13341.30628
764	13325.78974
765	13309.67562
766	13295.49353
767	13283.06993
768	13271.11486
769	13267.2386
770	13257.04834
771	13242.81427
772	13231.93294
773	13222.00127
774	13215.51686
775	13213.22342
776	13205.27264
777	13199.28618
778	13162.70693
779	13127.09518
780	13113.12566
781	13111.86929
782	13097.12723
783	13083.92947
784	13082.72962
785	13081.41491
786	13075.01379
787	13056.35934
788	13042.15923
789	13029.13131
790	13018.27149
791	13005.25062
792	13001.8715
793	13000.59786
794	12985.67346
795	12974.06188
796	12970.38284
797	12959.1721
798	12944.98354
799	12935.84463
800	12910.92301
801	12901.98047
802	12891.95149
803	12878.83717
804	12870.5855
805	12858.62303
806	12844.04044
807	12842.80512
808	12826.9949
809	12817.11096
810	12806.77991
811	12795.28463
812	12781.93589
813	12773.94733
814	12764.39647
815	12761.1291
816	12756.80887
817	12748.35907
818	12732.38539
819	12731.39978
820	12720.48696
821	12714.27365
822	12709.76755
823	12708.83497
824	12700.84882
825	12689.6345
826	12683.23448
827	12678.02099
828	12677.12405
829	12666.27044
830	12650.25025
831	12630.40558
832	12618.41425
833	12613.02189
834	12598.30175
835	12587.86679
836	12577.26747
837	12561.3251
838	12553.52239
839	12519.59048
840	12503.59175
841	12496.19695
842	12490.86421
843	12457.21777
844	12446.28353
845	12423.05544
846	12415.8037
847	12391.74969
848	12376.00833
849	12360.64837
850	12352.88176
851	12337.95365
852	12334.17531
853	12302.37632
854	12290.65453
855	12287.87114
856	12279.74471
857	12270.18185
858	12262.4602
859	12239.48193
860	12229.98773
861	12228.35988
862	12218.09772
863	12204.08787
864	12182.03962
865	12177.13315
866	12174.21806
867	12164.70158
868	12154.01469
869	12151.11388
870	12143.39401
871	12131.3487
872	12119.27421
873	12116.49919
874	12108.26201
875	12098.32259
876	12085.46622
877	12077.4471
878	12066.49352
879	12060.56207
880	12045.3353
881	12034.08764
882	12022.8437
883	12017.08405
884	12006.633
885	11995.86025
886	11992.37506
887	11962.18584
888	11941.81891
889	11935.95292
890	11932.3086
891	11913.41684
892	11897.30922
893	11884.48119
894	11874.76342
895	11865.33313
896	11853.50909
897	11845.12748
898	11841.77946
899	11833.19365
900	11826.54313
901	11817.39837
902	11810.90803
903	11803.69156
904	11779.45595
905	11773.61098
906	11763.01133
907	11755.91126
908	11749.18275
909	11736.16373
910	11730.8752
911	11704.67567
912	11678.36633
913	11676.77969
914	11668.03665
915	11659.15846
916	11649.96423
917	11642.334
918	11637.58995
919	11619.63959
920	11612.25838
921	11604.70157
922	11596.65971
923	11587.59254
924	11586.88067
925	11581.82629
926	11555.39081
927	11548.69555
928	11548.01776
929	11530.97502
930	11514.50791
931	11506.18084
932	11481.46736
933	11478.24772
934	11464.26121
935	11456.2528
936	11431.71332
937	11424.04055
938	11417.93126
939	11410.65898
940	11406.83739
941	11402.22816
942	11393.52052
943	11379.30065
944	11371.33949
945	11360.1685
946	11349.68894
947	11341.39383
948	11331.32783
949	11323.37803
950	11318.66892
951	11300.36414
952	11290.82737
953	11267.02901
954	11257.3784
955	11251.31042
956	11249.87741
957	11242.8401
958	11233.19263
959	11228.68739
960	11214.1107
961	11205.61652
962	11198.69131
963	11192.70443
964	11186.77565
965	11177.62041
966	11176.26417
967	11168.22372
968	11165.33937
969	11158.4784
970	11152.58872
971	11151.98692
972	11144.65305
973	11136.59331
974	11135.99673
975	11128.38179
976	11105.29829
977	11097.95006
978	11089.31024
979	11078.81221
980	11062.39699
981	11056.52781
982	11050.72693
983	11042.72586
984	11036.02955
985	11029.95873
986	11021.78208
987	11014.94702
988	11007.24727
989	10995.73273
990	10987.67385
991	10981.30179
992	10961.82838
993	10953.92351
994	10944.37304
995	10922.43548
996	10915.54292
997	10907.871
998	10899.80531
999	10893.64988
